personnage,replique
DON JUAN,"Et dites-moi un peu, belle Charlotte, vous n'êtes pas
mariée sans doute ?"
CHARLOTTE,"Non, Monsieur ; mais je dois bientôt l'être avec Piarrot, le
fils de la voisine Simonette."
DON JUAN,"Quoi ? Une personne comme vous serait la femme d'un
simple paysan ! Non, non : c'est profaner tant de beautés,
et vous n'êtes pas née pour demeurer dans un village.
Vous méritez sans doute une meilleure fortune, et le Ciel,
qui le connaît bien, m'a conduit ici tout exprès pour
empêcher ce mariage, et rendre justice à vos charmes ;
car enfin, belle Charlotte, je vous aime de tout mon
- 25 -"
CHARLOTTE,"Aussi vrai, Monsieur, je ne sais comment faire quand
vous parlez. Ce que vous dites me fait aise, et j'aurais
toutes les envies du monde de vous croire ; mais on m'a
toujou dit qu'il ne faut jamais croire les Monsieux, et que
vous autres courtisans êtes des enjoleus, qui ne songez
qu'à abuser les filles."
DON JUAN,Je ne suis pas de ces gens-là.
SGANARELLE,Il n'a garde.
CHARLOTTE,"Voyez-vous, Monsieur, il n'y a pas plaisir à se laisser
abuser. Je suis une pauvre paysanne ; mais j'ai l'honneur
en recommandation, et j'aimerais mieux me voir morte,
que de me voir déshonorée."
DON JUAN,"Moi, j'aurais l'âme assez méchante pour abuser une
personne comme vous ? Je serais assez lâche pour vous
déshonorer ? Non, non : j'ai trop de conscience pour cela.
Je vous aime, Charlotte, en tout bien et en tout honneur ;
et pour vous montrer que je vous dis vrai, sachez que je
n'ai point d'autre dessein que de vous épouser : en
voulez-vous un plus grand témoignage ? M'y voilà prêt
quand vous voudrez ; et je prends à témoin l'homme que
voilà de la parole que je vous donne."
SGANARELLE,"Non, non, ne craignez point : il se mariera avec vous tant
que vous voudrez."
DON JUAN,"Ah ! Charlotte, je vois bien que vous ne me connaissez
pas encore. Vous me faites grand tort de juger de moi par
les autres ; et s'il y a des fourbes dans le monde, des gens
qui ne cherchent qu'à abuser des filles, vous devez me
tirer du nombre, et ne pas mettre en doute la sincérité de
ma foi. Et puis votre beauté vous assure de tout. Quand
on est faite comme vous, on doit être à couvert de toutes
ces sortes de crainte ; vous n'avez point l'air, croyez-moi,
d'une personne qu'on abuse ; et pour moi, je l'avoue, je
me percerais le coeur de mille coups, si j'avais eu la
moindre pensée de vous trahir. 
- 26 -"
CHARLOTTE,"Mon Dieu ! Je ne sais si vous dites vrai, ou non ; mais
vous faites que l'on vous croit."
DON JUAN,"Lorsque vous me croirez, vous me rendrez justice
assurément, et je vous réitère encore la promesse que je
vous ai faite. Ne l'acceptez-vous pas, et ne voulez-vous
pas consentir à être ma femme ?"
CHARLOTTE,"Oui, pourvu que ma tante le veuille."
DON JUAN,"Touchez donc là, Charlotte, puisque vous le voulez bien
de votre part."
CHARLOTTE,"Mais au moins, Monsieur, ne m'allez pas tromper, je vous
prie : il y aurait de la conscience à vous, et vous voyez
comme j'y vais à la bonne foi."
DON JUAN,"Comment ? Il semble que vous doutiez encore de ma
sincérité ! Voulez-vous que je fasse des serments
épouvantables ? Que le Ciel..."
CHARLOTTE,"Mon Dieu, ne jurez point, je vous crois."
DON JUAN,"Donnez-moi donc un petit baiser pour gage de votre
parole."
CHARLOTTE,"Oh ! Monsieur, attendez que je soyons mariés, je vous
prie ; après, ça, je vous baiserai tant que vous voudrez."
DON JUAN,"Eh bien ! Belle Charlotte, je veux : tout ce que vous
voulez abandonnez-moi seulement votre main, et
souffrez que, par mille baisers, je lui exprime le
ravissement où je suis... 
- 27 -"
PIERROT,"Je vous dis qu'ou vous tegniez, et qu'ou ne caressiais
point nos accordées."
PIERROT,"Jerniquenne ! Ce n'est pas comme ça qu'il faut pousser
les gens."
PIERROT,"Quement ? Que je le laisse faire ? Je ne veux pas, moi."
DON JUAN,Ah !
PIERROT,"Testiguenne ! Parce qu'ous estes Monsieu, ous viendrez
caresser nos femmes à notre barbe ? Allez-v's-en caresser
les vôtres."
DON JUAN,Heu ?
PIERROT,"Heu. 
Don Juan lui donne un soufflet.
- 28 -"
CHARLOTTE,"Piarrot, ne te fâche point."
PIERROT,"Je me veux fâcher ; et t'es une vilaine, toi, d'endurer
qu'on te cajole."
CHARLOTTE,"Oh ! Piarrot, ce n'est pas ce que tu penses. Ce Monsieur
veut m'épouser, et tu ne dois pas te bouter en colère."
PIERROT,Quement ? Jerni ! Tu m'es promise.
CHARLOTTE,"Ça n'y fait rien, Piarrot. Si tu m'aimes ne dois-tu pas estre
bien aise que je devienne Madame ?"
PIERROT,"Jerniqué ! Non. J'aime mieux te voir crevée que de te voir
à un autre."
CHARLOTTE,"Va, va, Piarrot, ne te mets point en peine : si je sis
Madame, je te ferai gagner queuque chose, et tu
apporteras du beurre et du fromage cheux nous."
PIERROT,"Ventrequenne ! je gni en porterai jamais, quand tu m'en
poyrois deux fois autant. Est-ce donc comme ça que
t'escoutes ce qu'il te dit ? Morquenne ! Si j'avais su ça
tantost, je me serais bian gardé de le tirer de gliau, et je
gli aurois baillé un bon coup d'aviron sur la teste."
DON JUAN,"court après Pierrot.
Voyons cela."
PIERROT,"se sauve encore derrière Charlotte.
J'en avons bien vu d'autres."
DON JUAN,Houais !
SGANARELLE,"Eh ! Monsieur, laissez là ce pauvre misérable. C'est
conscience de le battre. Écoute, mon pauvre garçon,
retire-toi, et ne lui dis rien."
DON JUAN,Te voilà payé de ta charité.
PIERROT,Jarni ! Je vas dire à sa tante tout ce ménage-ci.
DON JUAN,"Enfin je m'en vais être le plus heureux de tous les
hommes, et je ne changerais pas mon bonheur à toutes les
choses du monde. Que de plaisirs quand vous serez ma
femme ! et que... 
- 30 -"
CHARLOTTE,Qu'est-ce que c'est donc que vous veut Mathurine ?
MATHURINE,Quoi ? Charlotte...
CHARLOTTE,Quement donc ! Mathurine...
MATHURINE,Est-ce que... ?
CHARLOTTE,Je voudrais...
MATHURINE,Vraiment...
CHARLOTTE,Je pense...
MATHURINE,"Non, non : il faut que je lui parle."
CHARLOTTE,Je veux voir un peu ses raisons.
MATHURINE,Quoi ?...
CHARLOTTE,Je...
MATHURINE,"Holà ! Charlotte, ça n'est pas bien de courir sur le marché
des autres. 
- 32 -"
CHARLOTTE,"Ça n'est pas honnête, Mathurine, d'être jalouse que
Monsieur me parle."
MATHURINE,C'est moi que Monsieur a vue la première.
CHARLOTTE,"S'il vous a vue la première, il m'a vue la seconde, et m'a
promis de m'épouser."
MATHURINE,"Je vous baise les mains, c'est moi, et non pas vous, qu'il a
promis d'épouser."
CHARLOTTE,"À d'autres, je vous prie ; c'est moi, vous dis-je."
MATHURINE,"Vous vous moquez des gens ; c'est moi, encore un coup."
CHARLOTTE,"Le vlà qui est pour le dire, si je n'ai pas raison."
MATHURINE,"Le vlà qui est pour me démentir, si je ne dis pas vrai..."
CHARLOTTE,"Est-ce, Monsieur, que vous lui avez promis de l'épouser ?"
MATHURINE,"Est-il vrai, Monsieur, que vous lui avez donné parole
d'être son mari ? 
- 33 -"
CHARLOTTE,Vous voyez qu'al le soutient.
MATHURINE,Vous êtes témoin comme al l'assure.
CHARLOTTE,"Non, non : il faut savoir la vérité."
MATHURINE,Il est question de juger ça.
CHARLOTTE,"Oui, Mathurine, je veux que Monsieur vous montre votre
bec jaune."
MATHURINE,"Oui, Charlotte, je veux que Monsieur vous rende un peu
camuse."
CHARLOTTE,"Monsieur, vuidez la querelle, s'il vous plaît."
MATHURINE,"Mettez-nous d'accord, Monsieur."
MATHURINE,C'est moi qu'il épousera.
SGANARELLE,"Ah ! Pauvres filles que vous êtes, j'ai pitié de votre
innocence, et je ne puis souffrir de vous voir courir à
votre malheur. Croyez-moi l'une et l'autre : ne vous
amusez point à tous les contes qu'on vous fait, et
demeurez dans votre village. 
- 35 -"
SGANARELLE,"Mon maître est un fourbe ; il n'a dessein que de vous
abuser, et en a bien abusé d'autres ; c'est l'épouseur du
genre humain, et... 
Il aperçoit Don Juan.
Cela est faux ; et quiconque vous dira cela, vous lui
devez dire qu'il en a menti. Mon maître n'est point
l'épouseur du genre humain, il n'est point fourbe, il n'a
pas dessein de vous tromper, et n'en a point abusé
d'autres. Ah ! Tenez, le voilà ; demandez le plutôt à
lui-même."
DON JUAN,Oui.
SGANARELLE,"Monsieur, comme le monde est plein de médisants, je
vais au-devant des choses ; et je leur disais que, si
quelqu'un leur venait dire du mal de vous, elles se
gardassent bien de le croire, et ne manquassent pas de lui
dire qu'il en aurait menti."
DON JUAN,Sganarelle.
SGANARELLE,"Oui, Monsieur est homme d'honneur, je le garantis tel."
DON JUAN,Hon !
SGANARELLE,"Ce sont des impertinents. 
- 36 -"
LA RAMÉE,"Monsieur, je viens vous avertir qu'il ne fait pas bon ici
pour vous."
DON JUAN,Comment ?
LA RAMÉE,"Douze hommes à cheval vous cherchent, qui doivent
arriver ici dans un moment ; je ne sais pas par quel
moyen ils peuvent vous avoir suivi ; mais j'ai appris cette
nouvelle d'un paysan qu'ils ont interrogé, et auquel ils
vous ont dépeint. L'affaire presse, et le plus tôt que vous
pourrez sortir d'ici sera le meilleur."
SGANARELLE,"Monsieur, vous vous moquez. M'exposer à être tué sous
vos habits, et..."
DON JUAN,"Allons vite, c'est trop d'honneur que je vous fais, et bien
heureux est le valet qui peut avoir la gloire de mourir
pour son maître."
SGANARELLE,"Je vous remercie d'un tel honneur. Ô Ciel, puisqu'il s'agit
de mort, fais-moi la grâce de n'être point pris pour un
autre ! 
- 37 -"
SGANARELLE,"Ma foi, Monsieur, avouez que j'ai eu raison, et que nous
voilà l'un et l'autre déguisés à merveille. Votre premier
dessein n'était point du tout à propos, et ceci nous cache
bien mieux que tout ce que vous vouliez faire."
DON JUAN,"Il est vrai que te voilà bien, et je ne sais où tu as été
déterrer cet attirail ridicule."
SGANARELLE,"Oui ? C'est l'habit d'un vieux médecin, qui a été laissé en
gage au lieu où je l'ai pris, et il m'en a coûté de l'argent
pour l'avoir. Mais savez-vous, Monsieur, que cet habit
me met déjà en considération, que je suis salué des gens
que je rencontre, et que l'on me vient consulter ainsi
qu'un habile homme ?"
DON JUAN,Comment donc ?
SGANARELLE,"Cinq ou six paysans et paysannes, en me voyant passer,
me sont venus demander mon avis sur différentes
maladies."
DON JUAN,Tu leur as répondu que tu n'y entendais rien ?
SGANARELLE,"Moi ? Point du tout. J'ai voulu soutenir l'honneur de mon
habit : j'ai raisonné sur le mal, et leur ai fait des
ordonnances à chacun. 
- 38 -"
DON JUAN,Et quels remèdes encore leur as-tu ordonnés ?
SGANARELLE,"Ma foi ! Monsieur, j'en ai pris par où j'en ai pu attraper ;
j'ai fait mes ordonnances à l'aventure, et ce serait une
chose plaisante si les malades guérissaient, et qu'on m'en
vînt remercier."
DON JUAN,"Et pourquoi non ? Par quelle raison n'aurais-tu pas les
mêmes privilèges qu'ont tous les autres médecins ? Ils
n'ont pas plus de part que toi aux guérisons des malades,
et tout leur art est pure grimace. Ils ne font rien que
recevoir la gloire des heureux succès, et tu peux profiter
comme eux du bonheur du malade, et voir attribuer à tes
remèdes tout ce qui peut venir des faveurs du hasard et
des forces de la nature."
SGANARELLE,"Comment, Monsieur, vous êtes aussi impie en médecine
?"
DON JUAN,C'est une des grandes erreurs qui soit parmi les hommes.
SGANARELLE,"Quoi ? Vous ne croyez pas au séné, ni à la casse, ni au
vin émétique ?"
DON JUAN,Et pourquoi veux-tu que j'y croie ?
SGANARELLE,"Vous avez l'âme bien mécréante. Cependant vous voyez,
depuis un temps, que le vin émétique fait bruire ses
fuseaux. Ses miracles ont converti les plus incrédules
esprits, et il n'y a pas trois semaines que j'en ai vu, moi
qui vous parle, un effet merveilleux."
DON JUAN,Et quel ?
SGANARELLE,"Il y avait un homme qui, depuis six jours, était à l'agonie
; on ne savait plus que lui ordonner, et tous les remèdes
ne faisaient rien ; on s'avisa à la fin de lui donner de
l'émétique. 
- 39 -"
DON JUAN,"Il réchappa, n'est-ce pas ?"
SGANARELLE,"Non, il mourut."
DON JUAN,L'effet est admirable.
SGANARELLE,"Comment ? Il y avait six jours entiers qu'il ne pouvait
mourir, et cela le fit mourir tout d'un coup. Voulez-vous
rien de plus efficace ?"
DON JUAN,Tu as raison.
SGANARELLE,"Mais laissons là la médecine, où vous ne croyez point, et
parlons des autres choses, car cet habit me donne de
l'esprit, et je me sens en humeur de disputer contre vous :
vous savez bien que vous me permettez les disputes, et
que vous ne me défendez que les remontrances."
DON JUAN,Eh bien ?
SGANARELLE,"Je veux savoir un peu vos pensées à fond. Est-il possible
que vous ne croyiez point du tout au Ciel ?"
DON JUAN,Laissons cela.
SGANARELLE,C'est à dire que non. Et à l'Enfer ?
DON JUAN,Eh !
SGANARELLE,"Tout de même. Et au diable, s'il vous plaît ? 
- 40 -"
DON JUAN,"Oui, oui."
SGANARELLE,Aussi peu. Ne croyez-vous point l'autre vie ?
DON JUAN,Ah ! ah ! Ah !
SGANARELLE,"Voilà un homme que j'aurai bien de la peine à convertir.
Et dites-moi un peu, [le Moine bourru, qu'en
croyez-vous, eh !"
DON JUAN,La peste soit du fat !
SGANARELLE,"Et voilà ce que je ne puis souffrir, car il n'y a rien de plus
vrai que le Moine bourru, et je me ferais pendre pour
celui-là. Mais encore faut-il croire quelque chose dans le
monde : qu'est-ce donc que vous croyez ?"
DON JUAN,Ce que je crois ?
SGANARELLE,Oui.
DON JUAN,"Je crois que deux et deux sont quatre, Sganarelle, et que
quatre et quatre sont huit."
SGANARELLE,"La belle croyance et les beaux articles de foi que voilà !
Votre religion, à ce que je vois, est donc l'arithmétique ?
Il faut avouer qu'il se met d'étranges folies dans la tête
des hommes, et que pour avoir bien étudié on est bien
moins sage le plus souvent. Pour moi, Monsieur, je n'ai
point étudié comme vous. Dieu merci, et personne ne
saurait se vanter de m'avoir jamais rien appris ; mais avec
mon petit sens, mon petit jugement, je vois les choses
mieux que tous les livres, et je comprends fort bien que
ce monde que nous voyons n'est pas un champignon, qui
soit venu tout seul en une nuit. Je voudrais bien vous
demander qui a fait ces arbres-là, ces rochers, cette terre,
et ce ciel que voilà là-haut, et si tout cela s'est bâti de
lui-même. Vous voilà vous, par exemple, vous êtes là :
est-ce que vous vous êtes fait tout seul, et n'a-t-il pas fallu
- 41 -"
DON JUAN,J'attends que ton raisonnement soit fini.
SGANARELLE,"Mon raisonnement est qu'il y a quelque chose
d'admirable dans l'homme, quoi que vous puissiez dire,
que tous les savants ne sauraient expliquer. Cela n'est-il
pas merveilleux que me voilà ici, et que j'aie quelque
chose dans la tête qui pense cent choses différentes en un
moment, et fait de mon corps tout ce qu'elle veut ? Je
veux frapper des mains, hausser le bras, lever les yeux au
ciel, baisser la tête, remuer les pieds, aller à droit, à
gauche, en avant, en arrière, tourner... 
Il se laisse tomber en tournant."
DON JUAN,Bon ! Voilà ton raisonnement qui a le nez cassé.
SGANARELLE,"Morbleu ! je suis bien sot de m'amuser à raisonner avec
vous. Croyez ce que vous voudrez : il m'importe bien que
vous soyez damné !"
DON JUAN,"Mais tout en raisonnant, je crois que nous sommes
égarés. Appelle un peu cet homme que voilà là-bas, pour
lui demander le chemin."
SGANARELLE,"Holà, ho, l'homme ! ho, mon compère ! ho, l'ami ! un
petit mot s'il vous plaît. 
- 42 -"
SGANARELLE,"Enseignez-nous un peu le chemin qui mène à la ville. 
LE PAUVRE.
Vous n'avez qu'à suivre cette route, Messieurs, et
détourner à main droite quand vous serez au bout de la
forêt. Mais je vous donne avis que vous devez vous tenir
sur vos gardes, et que depuis quelque temps il y a des
voleurs ici autour."
DON JUAN,"Je te suis bien obligé, mon ami, et je te rends grâce de
tout mon coeur. 
LE PAUVRE.
Si vous vouliez, Monsieur, me secourir de quelque
aumône ?"
DON JUAN,"Ah ! Ah ! Ton avis est intéressé, à ce que je vois. 
LE PAUVRE.
Je suis un pauvre homme, Monsieur, retiré tout seul dans
ce bois depuis dix ans, et je ne manquerai pas de prier le
Ciel qu'il vous donne toute sorte de biens."
DON JUAN,"Eh ! Prie-le qu'il te donne un habit, sans te mettre en
peine des affaires des autres."
SGANARELLE,"Vous ne connaissez pas Monsieur, bonhomme ; il ne
croit qu'en deux et deux sont quatre et en quatre et quatre
sont huit."
DON JUAN,"Quelle est ton occupation parmi ces arbres ? 
LE PAUVRE.
De prier le Ciel tout le jour pour la prospérité des gens de
bien qui me donnent quelque chose. 
- 43 -"
DON JUAN,"Il ne se peut donc pas que tu ne sois bien à ton aise ? 
LE PAUVRE.
Hélas ! Monsieur, je suis dans la plus grande nécessité du
monde."
DON JUAN,"Tu te moques : un homme qui prie le Ciel tout le jour ne
peut pas manquer d'être bien dans ses affaires. 
LE PAUVRE.
Je vous assure, Monsieur, que le plus souvent je n'ai pas
un morceau de pain à me mettre sous les dents."
DON JUAN,"Voilà qui est étrange, et tu es bien mal reconnu de tes
soins. Ah ! ah ! Je m'en vais te donner un louis d'or tout à
l'heure, pourvu que tu veuilles jurer. 
LE PAUVRE.
Ah ! Monsieur, voudriez-vous que je commisse un tel
péché ?"
DON JUAN,"Tu n'as qu'à voir si tu veux gagner un louis d'or ou non.
En voici un que je te donne, si tu jures ; tiens, il faut
jurer. 
LE PAUVRE.
Monsieur !"
DON JUAN,"À moins de cela, tu ne l'auras pas."
SGANARELLE,"Va, va, jure un peu, il n'y a pas de mal."
DON JUAN,"Prends, le voilà ; prends, te dis-je, mais jure donc. 
LE PAUVRE.
Non, Monsieur, j'aime mieux mourir de faim. 
- 44 -"
DON JUAN,"Va, va, je te le donne pour l'amour de l'humanité. Mais
que vois-je là ? Un homme attaqué par trois autres ? La
partie est trop inégale, et je ne dois pas souffrir cette
lâcheté. 
Il court au lieu du combat.
SCÈNE III.
Don Juan, Don Carlos, Sganarelle."
SGANARELLE,"Mon maître est un vrai enragé d'aller se présenter à un
péril qui ne le cherche pas ; mais, ma foi ! Le secours a
servi, et les deux ont fait fuir les trois."
DON CARLOS,"Je m'étais par hasard égaré d'un frère et de tous ceux de
notre suite ; et comme je cherchais à les rejoindre, j'ai fait
rencontre de ces voleurs, qui d'abord ont tué mon cheval ;
et qui, sans votre valeur, en auraient fait autant de moi."
DON JUAN,Votre dessein est-il d'aller du côté de la ville ?
DON CARLOS,"Oui, mais sans y vouloir entrer ; et nous nous voyons
obligés, mon frère et moi, à tenir la campagne pour une
de ces fâcheuses affaires qui réduisent les gentilshommes
à se sacrifier, eux et leur famille, à la sévérité de leur
honneur, puisque enfin le plus doux succès en est
toujours funeste, et que, si l'on ne quitte pas la vie, on est
contraint de quitter le Royaume ; et c'est en quoi je trouve
la condition d'un gentilhomme malheureuse, de ne
pouvoir point s'assurer sur toute la prudence et toute
l'honnêteté de sa conduite, d'être asservi par les lois de
l'honneur au dérèglement de la conduite d'autrui, et de
voir sa vie, son repos et ses biens dépendre de la fantaisie
du premier téméraire qui s'avisera de lui faire une de ces
- 45 -"
DON JUAN,"On a cet avantage, qu'on fait courir le même risque et
passer mal aussi le temps à ceux qui prennent fantaisie de
nous venir faire une offense de gaieté de coeur. Mais ne
serait-ce point une indiscrétion que de vous demander
quelle peut être votre affaire ?"
DON CARLOS,"La chose en est aux termes de n'en plus faire de secret, et
lorsque l'injure a une fois éclaté, notre honneur ne va
point à vouloir cacher notre honte, mais à faire éclater
notre vengeance, et à publier même le dessein que nous
en avons. Ainsi, Monsieur, je ne feindrai point de vous
dire que l'offense que nous cherchons à venger est une
soeur séduite et enlevée d'un convent ; et que l'auteur de
cette offense est un Don Juan Tenorio, fils de Don Louis
Tenorio. Nous le cherchons depuis quelques jours, et
nous l'avons suivi ce matin sur le rapport d'un valet qui
nous a dit qu'il sortait à cheval, accompagné de quatre ou
cinq, et qu'il avait pris le long de cette côte ; mais tous
nos soins ont été inutiles, et nous n'avons pu découvrir ce
qu'il est devenu."
DON JUAN,"Le connaissez-vous, Monsieur, ce Don Juan dont vous
parlez ?"
DON CARLOS,"Non, quant à moi. Je ne l'ai jamais vu, et je l'ai seulement
ouï dépeindre à mon frère ; mais la renommée n'en dit
pas force bien, et c'est un homme dont la vie..."
DON JUAN,"Arrêtez, Monsieur, s'il vous plaît. Il est un peu de mes
amis, et ce serait à moi une espèce de lâcheté, que d'en
ouïr dire du mal."
DON CARLOS,"Pour l'amour de vous, Monsieur, je n'en dirai rien du tout,
et c'est bien la moindre chose que je vous doive, après
m'avoir sauvé la vie, que de me taire devant vous d'une
personne que vous connaissez, lorsque je ne puis en
parler sans en dire du mal ; mais, quelque ami que vous
lui soyez, j'ose espérer que vous n'approuverez pas son
action, et ne trouverez pas étrange que nous cherchions
d'en prendre la vengeance. 
- 46 -"
DON JUAN,"Au contraire, je vous y veux servir, et vous épargner des
soins inutiles. Je suis ami de Don Juan, je ne puis pas
m'en empêcher ; mais il n'est pas raisonnable qu'il
offense impunément des gentilshommes, et je m'engage à
vous faire faire raison par lui."
DON CARLOS,Et quelle raison peut-on faire à ces sortes d'injures ?
DON JUAN,"Toute celle que votre honneur et souhaiter ; et, sans vous
donner la peine de chercher Don Juan davantage, je
m'oblige à le faire trouver au lieu que vous voudrez, et
quand il vous plaira."
DON CARLOS,"Cet espoir est bien doux, Monsieur, à des cours offensés ;
mais, après ce que je vous dois, ce me serait une trop
sensible douleur que vous fussiez de la partie."
DON JUAN,"Je suis si attaché à Don Juan qu'il ne saurait se battre que
je ne me batte aussi ; mais enfin j'en réponds comme de
moi-même, et vous n'avez qu'à dire quand vous voulez
qu'il paraisse et vous donne satisfaction."
DON CARLOS,"Que ma destinée est cruelle ! Faut-il que je vous doive la
vie, et que Don Juan soit de vos amis ? 
- 47 -"
DON CARLOS,Notre ennemi mortel ?
DON JUAN,"; se reculant de trois pas et mettant
fièrement la main sur la garde de son épée.
Oui, je suis Don Juan moi-même, et l'avantage du
nombre ne m'obligea pas à vouloir déguiser mon nom. 
DON ALONSE.
Ah ! Traître, il faut que tu périsses, et..."
DON CARLOS,"Ah ! Mon frère, arrêtez. Je lui suis redevable de la vie ; et
sans le secours de son bras, j'aurais été tué par des
voleurs que j'ai trouvés ! 
DON ALONSE.
Et voulez-vous que cette considération empêche notre
vengeance ? Tous les services que nous rend une main
ennemie ne sont d'aucun mérite pour engager notre âme ;
et s'il faut mesurer l'obligation à l'injure, votre
reconnaissance, mon frère, est ici ridicule ; et comme
l'honneur est infiniment plus précieux que la vie, c'est ne
devoir rien proprement que d'être redevable de la vie à
qui nous a ôté l'honneur."
DON CARLOS,"Je sais la différence, mon frère, qu'un gentilhomme doit
toujours mettre entre l'un et l'autre, et la reconnaissance
de l'obligation n'efface point en moi le ressentiment de
l'injure ; mais souffrez que je lui rende ici ce qu'il m'a
prêté, que je m'acquitte sur-le-champ de la vie que je lui
dois, par un délai de notre vengeance, et lui laisse la
liberté de jouir, durant quelques jours, du fruit de son
bienfait. 
- 48 -"
DON CARLOS,"De grâce, mon frère... 
DON ALONSE.
Tous ces discours sont superflus : il faut qu'il meure."
DON CARLOS,"Arrêtez-vous, dis-je, mon frère. Je ne souffrirai point du
tout qu'on attaque ses jours, et je jure le Ciel que je le
défendrai ici contre qui que ce soit, et je saurai lui faire
un rempart de cette même vie qu'il a sauvée ; et pour
adresser vos coups, il faudra que vous me perciez. 
DON ALONSE.
Quoi ? Vous prenez le parti de notre ennemi contre moi ;
et loin d'être saisi à son aspect des mêmes transports que
je sens, vous faites voir pour lui des sentiments pleins de
douceur ?"
DON CARLOS,"Mon frère, montrons de la modération dans une action
légitime, et ne vengeons point notre honneur avec cet
emportement que vous témoignez. Ayons du coeur dont
nous soyons les maîtres, une valeur qui n'ait rien de
farouche, et qui se porte aux choses par une pure
délibération de notre raison, et non point par le
mouvement d'une aveugle colère. Je ne veux point, mon
frère, demeurer redevable à mon ennemi, et je lui ai une
obligation dont il faut que je m'acquitte avant toute
chose. Notre vengeance, pour être différée, n'en sera pas
moins éclatante : au contraire, elle en tirera de l'avantage
; et cette occasion de l'avoir pu prendre la fera paraître
plus juste aux yeux de tout le monde. 
DON ALONSE.
Ô l'étrange faiblesse, et l'aveuglement effroyable
d'hasarder ainsi les intérêts de son honneur pour la
ridicule pensée d'une obligation chimérique ! 
- 49 -"
DON CARLOS,"Non, mon frère, ne vous mettez pas en peine. Si je fais
une faute, je saurai bien la réparer, et je me charge de
tout le soin de notre honneur ; je sais à quoi il nous
oblige, et cette suspension d'un jour, que ma
reconnaissance lui demande, ne fera qu'augmenter
l'ardeur que j'ai de le satisfaire. Don Juan, vous voyez
que j'ai soin de vous rendre le bien que j'ai reçu de vous,
et vous devez par là juger du reste, croire que je
m'acquitte avec même chaleur de ce que je dois, et que je
ne serai pas moins exact à vous payer l'injure que le
bienfait. Je ne veux point vous obliger ici à expliquer vos
sentiments, et je vous donne la liberté de penser à loisir
aux résolutions que vous avez à prendre. Vous
connaissez assez la grandeur de l'offense que vous nous
avez faite, et je vous fais juge vous-même des réparations
qu'elle demande. Il est des moyens doux pour nous
satisfaire ; il en est de violents et de sanglants ; mais
enfin, quelque choix que vous fassiez, vous m'avez donné
parole de me faire faire raison par Don Juan : songez à
me la faire, je vous prie, et vous ressouvenez que, hors
d'ici, je ne dois plus qu'à mon honneur."
DON JUAN,"Je n'ai rien exigé de vous, et vous tiendrai ce que j'ai
promis."
DON CARLOS,"Allons, mon frère : un moment de douceur ne fait aucune
injure à la sévérité de notre devoir. 
- 50 -"
DON JUAN,"Holà, hé, Sganarelle !"
SGANARELLE,Plaît-il ?
DON JUAN,"Comment ? coquin, tu fuis quand on m'attaque ?"
SGANARELLE,"Pardonnez-moi, Monsieur ; je viens seulement d'ici près.
Je crois que cet habit est purgatif, et que c'est prendre
médecine que de le porter."
DON JUAN,"Peste soit l'insolent ! Couvre au moins ta poltronnerie
d'un voile plus honnête. Sais-tu bien qui est celui à qui
j'ai sauvé la vie ?"
SGANARELLE,Moi ? Non.
DON JUAN,C'est un frère d'Elvire.
SGANARELLE,Un...
DON JUAN,"Il est assez honnête homme, il en a bien usé, et j'ai regret
d'avoir démêlé avec lui."
SGANARELLE,Il vous serait aisé de pacifier toutes choses.
DON JUAN,"Oui ; mais ma passion est usée pour Done Elvire, et
l'engagement ne compatit point avec mon humeur. J'aime
la liberté en amour, tu le sais, et je ne saurais me résoudre
à renfermer mon coeur entre quatre murailles. Je te l'ai dit
vingt fois, j'ai une pente naturelle à me laisser aller à tout
ce qui m'attire. Mon coeur est à toutes les belles, et c'est à
elles à le prendre tour à tour et à le garder tant qu'elles le
pourront. Mais quel est le superbe édifice que je vois
- 51 -"
SGANARELLE,Vous ne le savez pas ?
DON JUAN,"Non, vraiment."
SGANARELLE,"Bon ! C'est le tombeau que le Commandeur faisait faire
lorsque vous le tuâtes."
DON JUAN,"Ah ! Tu as raison. Je ne savais pas que c'était de ce
côté-ci qu'il était. Tout le monde m'a dit des merveilles
de cet ouvrage, aussi bien que de la statue du
Commandeur, et j'ai envie de l'aller voir."
SGANARELLE,"Monsieur, n'allez point là."
DON JUAN,Pourquoi ?
SGANARELLE,"Cela n'est pas civil, d'aller voir un homme que vous avez
tué."
DON JUAN,"Au contraire, c'est une visite dont je lui veux faire
civilité, et qu'il doit recevoir de bonne grâce, s'il est
galant homme. Allons, entrons dedans. 
Le tombeau s'ouvre, où l'on voit un superbe mausolée et la statue du
Commandeur."
SGANARELLE,"Ah ! Que cela est beau ! Les belles statues ! Le beau
marbre ! Les beaux piliers ! Ah ! Que cela est beau !
Qu'en dites-vous, Monsieur ?"
DON JUAN,"Qu'on ne peut voir aller plus loin l'ambition d'un homme
mort ; et ce que je trouve admirable, c'est qu'un homme
qui s'est passé, durant sa vie, d'une assez simple demeure,
en veuille avoir une si magnifique pour quand il n'en a
plus que faire. 
- 52 -"
SGANARELLE,Voici la statue du Commandeur.
DON JUAN,"Parbleu ! Le voilà bon, avec son habit d'empereur romain
!"
